STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.30,0.40,2.40,0.80,1.10,1.90,1.90,2.40,2.40,2.40,13.20,20.60,10.00,68.70,6.00,99.90,989.50,995.63,0,2016-04-16 20:02:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.30,0.20,4.30,0.60,0.80,1.30,2.20,4.30,4.30,4.30,13.10,20.60,10.00,67.30,4.10,97.90,991.30,997.54,0,2016-04-16 20:02:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.29,0.40,6.50,0.90,1.30,2.60,3.60,6.50,6.50,6.50,13.40,20.00,12.00,48.90,3.70,93.30,986.40,997.06,0,2016-04-16 20:02:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.29,0.70,6.90,1.20,1.60,3.20,4.20,6.90,6.90,6.90,13.30,20.00,12.00,58.00,6.10,96.70,989.30,996.96,0,2016-04-16 20:02:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.30,0.60,6.90,1.20,1.50,2.80,3.90,6.90,6.90,6.90,13.50,20.60,10.00,45.50,2.60,88.50,989.10,997.26,0,2016-04-16 20:02:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.30,0.30,5.50,0.90,1.10,2.20,3.10,5.50,5.50,5.50,12.90,20.60,10.00,51.70,4.50,90.30,990.80,998.90,0,2016-04-16 20:02:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.30,0.50,6.00,1.00,1.30,2.30,3.20,6.00,6.00,6.00,13.30,20.60,10.00,78.00,3.60,93.40,991.10,996.96,0,2016-04-16 20:02:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.30,0.80,11.60,1.80,2.40,4.30,6.20,11.60,11.60,11.60,13.00,20.60,10.00,36.60,4.20,94.90,988.20,996.15,0,2016-04-16 20:02:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.29,0.30,5.60,0.80,1.10,2.20,3.10,5.60,5.60,5.60,13.50,20.00,12.00,19.10,7.40,95.00,990.70,996.42,0,2016-04-16 20:02:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.29,0.40,6.40,0.90,1.20,2.40,3.40,6.40,6.40,6.40,13.30,20.00,12.00,92.20,2.40,88.00,990.70,997.83,0,2016-04-16 20:02:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.29,0.40,5.90,0.90,1.20,2.40,3.30,5.90,5.90,5.90,13.40,20.00,12.00,92.40,2.30,94.10,990.50,997.91,0,2016-04-16 20:02:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.30,0.60,8.20,1.40,2.00,3.40,5.00,8.20,8.20,8.20,13.20,20.70,10.40,126.40,2.00,96.80,993.00,996.97,0,2016-04-16 20:02:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.29,0.80,7.30,1.40,1.90,3.40,4.40,7.30,7.30,7.30,13.20,20.00,12.00,71.40,7.60,94.00,991.30,997.75,0,2016-04-16 20:02:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.29,0.50,7.10,1.10,1.50,3.00,4.00,7.10,7.10,7.10,13.30,20.00,12.00,81.00,5.70,95.20,990.30,997.81,0,2016-04-16 20:02:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.30,0.60,6.40,1.20,1.50,2.70,3.60,6.40,6.40,6.40,13.10,20.60,10.00,40.60,6.90,96.40,984.60,996.88,0,2016-04-16 20:02:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.30,0.40,5.20,0.90,1.10,2.00,2.70,5.20,5.20,5.20,13.50,20.60,10.00,59.10,4.10,96.90,987.70,996.71,0,2016-04-16 20:02:00
10035,BTN,37.4935638889,127.0301555556,2,72.4857,SKY_A08,1,0.30,0.70,6.90,1.20,1.60,3.00,4.00,6.90,6.90,6.90,13.30,20.60,10.00,60.30,5.90,93.20,987.30,995.83,0,2016-04-16 20:02:00
