STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.36,2.70,14.50,0.40,0.60,1.30,2.70,14.50,14.50,14.50,14.70,20.60,10.00,119.50,1.90,100.00,981.50,987.54,0,2016-04-16 23:58:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.36,4.10,16.20,0.40,0.80,1.80,4.20,16.00,16.20,16.20,14.60,20.60,10.00,32.20,6.70,99.40,983.20,989.35,0,2016-04-16 23:58:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.31,4.10,20.00,0.60,0.90,2.40,4.10,19.90,20.00,20.00,14.00,20.00,12.00,99.40,4.60,97.70,978.10,988.64,0,2016-04-16 23:58:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.31,4.30,19.70,0.60,0.90,2.50,4.30,19.60,19.70,19.70,14.20,20.00,12.00,350.80,0.60,100.00,981.00,988.57,0,2016-04-16 23:58:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.36,4.40,23.00,0.70,0.90,2.00,4.40,22.80,23.00,23.00,13.80,20.60,10.00,94.50,6.70,93.90,980.90,988.99,0,2016-04-16 23:58:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.36,4.10,19.20,0.70,0.90,2.10,4.20,19.10,19.20,19.20,13.70,20.60,10.00,113.30,3.00,94.30,982.60,990.61,0,2016-04-16 23:58:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.36,3.60,18.70,0.50,0.70,1.70,3.60,18.50,18.70,18.70,14.10,20.60,10.00,89.70,4.70,97.20,982.90,988.69,0,2016-04-16 23:58:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A07,1,0.36,1.40,37.70,0.00,0.00,0.00,1.40,37.50,37.70,37.70,14.10,20.60,10.00,62.80,6.30,99.40,979.90,987.75,0,2016-04-16 23:58:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.31,4.30,20.50,0.70,0.90,2.10,4.40,20.50,20.50,20.50,14.10,20.00,12.00,92.50,2.70,99.60,982.30,987.96,0,2016-04-16 23:58:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.31,4.20,21.70,0.70,0.90,2.00,4.20,21.60,21.70,21.70,14.10,20.00,12.00,113.00,1.70,92.60,982.20,989.25,0,2016-04-16 23:58:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.31,3.70,20.00,0.60,0.90,1.90,3.70,20.00,20.00,20.00,13.90,20.00,12.00,101.20,4.10,99.20,982.00,989.33,0,2016-04-16 23:58:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.51,4.70,25.10,0.80,1.20,2.40,4.80,25.00,25.10,25.10,13.90,20.70,10.40,134.80,1.00,100.00,984.80,988.73,0,2016-04-16 23:58:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.31,4.40,22.00,0.50,0.80,2.60,4.40,21.90,22.00,22.00,13.50,20.00,12.00,83.10,4.30,99.50,982.90,989.29,0,2016-04-16 23:58:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.31,4.10,21.40,0.50,0.80,2.40,4.10,21.30,21.40,21.40,14.00,20.00,12.00,93.30,5.20,98.80,981.80,989.23,0,2016-04-16 23:58:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.36,3.50,19.10,0.50,0.70,1.60,3.50,18.90,19.10,19.10,14.10,20.60,10.00,109.60,3.80,99.90,976.30,988.43,0,2016-04-16 23:58:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.36,3.80,18.50,0.50,0.70,1.60,3.90,18.40,18.50,18.50,14.30,20.60,10.00,58.20,2.90,100.00,979.50,988.41,0,2016-04-16 23:58:00
10035,BTN,37.4935638889,127.0301555556,2,72.4857,SKY_A08,1,0.36,3.70,19.60,0.50,0.80,1.60,3.70,19.40,19.60,19.60,14.30,20.60,10.00,119.00,4.10,97.30,979.10,987.53,0,2016-04-16 23:58:00
10036,BTN,37.4894505556,127.0825044444,7,49.9032,SKY_A08,1,0.51,5.30,28.50,0.80,1.20,2.40,5.40,28.50,28.50,28.50,13.90,20.70,10.40,81.50,3.90,97.20,983.00,988.83,0,2016-04-16 23:58:00
10037,BTN,37.5210305556,127.0572888889,18,81.7495,SKY_A08,1,0.31,3.80,20.40,0.70,0.90,2.00,3.90,20.30,20.40,20.40,14.00,20.00,12.00,107.20,1.30,99.40,980.10,989.63,0,2016-04-16 23:58:00
10040,BTN,37.5378861111,127.1396583333,9,56.9444,SKY_A08,1,0.55,4.00,20.60,0.70,1.00,1.90,4.10,20.60,20.60,20.60,14.60,20.40,10.20,131.60,3.30,95.70,981.90,988.53,0,2016-04-16 23:58:00
10042,BTN,37.5525122222,127.1536294444,5,69.2126,SKY_A08,1,0.55,3.60,19.10,0.90,1.20,2.00,3.70,19.00,19.10,19.10,13.90,20.40,10.20,175.80,2.40,93.10,980.80,988.87,0,2016-04-16 23:58:00
10043,BTN,37.5484861111,127.1726722222,8,55.485,SKY_A08,1,0.55,3.00,19.40,0.60,1.00,1.60,3.10,19.40,19.40,19.40,14.40,20.40,10.20,99.00,8.30,97.60,983.30,989.77,0,2016-04-16 23:58:00
10044,BTN,37.5298777778,127.1322694444,10,51.7449,SKY_A08,1,0.45,4.00,22.40,0.70,1.00,1.90,4.00,22.40,22.40,22.40,14.90,20.60,11.20,66.60,0.90,97.20,983.30,989.32,0,2016-04-16 23:58:00
10045,BTN,37.5223222222,127.1328527778,17.3063,50.8063,SKY_A08,1,0.45,3.80,21.00,0.70,1.10,1.90,3.90,20.90,21.00,21.00,14.70,20.60,11.20,68.80,7.30,98.10,983.40,989.32,0,2016-04-16 23:58:00
10047,BTN,37.5549333333,127.1345555556,8,60.043,SKY_A08,1,0.55,3.20,21.70,0.40,0.90,1.90,3.20,21.70,21.70,21.70,14.20,20.40,10.20,119.10,3.20,96.50,981.60,988.60,0,2016-04-16 23:58:00
10048,BTN,37.5490277778,127.1266944444,8,57.8966,SKY_A08,1,0.45,4.30,23.10,0.70,1.00,2.20,4.40,23.00,23.10,23.10,14.50,20.60,11.20,66.50,3.60,100.00,983.20,989.95,0,2016-04-16 23:58:00
10049,BTN,37.5407111111,127.1282750000,8,57.0062,SKY_A08,1,0.45,3.80,20.80,0.60,0.90,1.90,3.90,20.70,20.80,20.80,14.40,20.60,11.20,126.90,1.30,97.20,982.50,989.14,0,2016-04-16 23:58:00
10050,BTN,37.5443220000,127.1421050000,11,62.5,SKY_A08,1,0.55,4.30,21.80,0.80,1.20,2.20,4.30,21.80,21.80,21.80,14.00,20.40,10.20,86.60,3.90,98.80,981.70,988.99,0,2016-04-16 23:58:00
10053,BTN,37.6259055556,127.0175250000,8,77.5211,SKY_A08,1,0.23,4.60,31.80,0.60,0.80,2.70,4.70,31.60,31.80,31.80,13.20,19.30,8.70,206.40,1.60,100.00,979.80,988.86,0,2016-04-16 23:58:00
