STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.21,0.90,9.90,0.40,0.60,1.20,2.50,9.90,9.90,9.90,13.80,20.60,10.00,69.00,4.80,99.20,985.50,991.59,0,2016-04-16 22:19:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.21,0.70,9.70,0.40,0.60,1.20,2.40,9.70,9.70,9.70,13.50,20.60,10.00,9.60,9.20,99.00,987.40,993.60,0,2016-04-16 22:19:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.19,0.60,13.80,0.30,0.40,0.80,1.80,13.80,13.80,13.80,13.60,20.00,12.00,137.90,5.20,95.70,982.40,993.00,0,2016-04-16 22:19:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.19,0.50,13.30,0.30,0.40,0.80,1.50,13.30,13.30,13.30,13.90,20.00,12.00,85.30,3.40,98.10,985.30,992.91,0,2016-04-16 22:19:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.21,0.70,16.10,0.40,0.50,1.10,2.60,16.10,16.10,16.10,13.70,20.60,10.00,89.00,6.60,89.20,984.90,993.02,0,2016-04-16 22:19:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.21,0.90,12.70,0.40,0.60,1.20,2.70,12.70,12.70,12.70,13.20,20.60,10.00,71.20,4.10,91.70,986.60,994.66,0,2016-04-16 22:19:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.21,0.70,13.20,0.30,0.40,1.00,2.10,13.20,13.20,13.20,13.60,20.60,10.00,92.90,2.90,94.90,987.00,992.83,0,2016-04-16 22:19:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.21,2.60,36.30,0.50,1.60,4.60,10.00,36.30,36.30,36.30,13.20,20.60,10.00,83.20,2.80,97.80,984.30,992.22,0,2016-04-16 22:19:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.19,0.90,13.70,0.40,0.60,1.20,2.50,13.70,13.70,13.70,13.90,20.00,12.00,78.20,1.20,96.80,986.50,992.19,0,2016-04-16 22:19:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.19,0.70,15.30,0.40,0.50,1.10,2.30,15.30,15.30,15.30,14.00,20.00,12.00,352.40,0.80,88.70,986.40,993.48,0,2016-04-16 22:19:00
