STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.37,0.30,12.10,0.40,0.70,1.40,2.70,12.10,12.10,12.10,14.10,20.60,10.00,69.70,2.90,99.90,983.40,989.47,0,2016-04-16 23:06:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.37,0.30,12.40,0.40,0.70,1.50,3.20,12.30,12.40,12.40,13.90,20.60,10.00,51.20,9.40,99.90,985.10,991.28,0,2016-04-16 23:06:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.35,0.30,16.20,0.40,0.60,1.50,2.80,16.10,16.20,16.20,13.70,20.00,12.00,115.90,1.90,96.80,980.20,990.78,0,2016-04-16 23:06:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.35,0.30,15.70,0.40,0.60,1.50,2.70,15.70,15.70,15.70,13.90,20.00,12.00,108.00,1.30,99.90,983.20,990.79,0,2016-04-16 23:06:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.37,0.40,19.00,0.40,0.80,1.70,3.40,18.90,19.00,19.00,13.70,20.60,10.00,76.70,5.90,91.30,982.80,990.91,0,2016-04-16 23:06:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.37,0.30,15.40,0.40,0.70,1.70,3.20,15.40,15.40,15.40,13.40,20.60,10.00,107.00,4.40,93.40,984.50,992.53,0,2016-04-16 23:06:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.37,0.30,15.40,0.30,0.50,1.30,2.50,15.30,15.40,15.40,13.60,20.60,10.00,62.80,4.10,96.10,984.80,990.61,0,2016-04-16 23:06:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A07,1,0.37,0.00,36.30,0.00,0.00,0.00,1.20,36.20,36.30,36.30,13.40,20.60,10.00,84.40,5.20,98.80,982.20,990.09,0,2016-04-16 23:06:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.35,0.30,16.50,0.40,0.70,1.60,3.30,16.50,16.50,16.50,14.00,20.00,12.00,41.00,1.70,98.10,984.40,990.07,0,2016-04-16 23:06:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.35,0.30,17.80,0.40,0.70,1.50,2.90,17.80,17.80,17.80,14.10,20.00,12.00,64.30,1.20,89.70,984.30,991.36,0,2016-04-16 23:06:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.35,0.30,16.60,0.40,0.60,1.40,2.60,16.60,16.60,16.60,13.80,20.00,12.00,93.40,3.30,97.80,984.10,991.45,0,2016-04-16 23:06:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.39,0.40,20.80,0.70,1.20,2.40,4.40,20.80,20.80,20.80,13.60,20.70,10.40,143.10,1.70,99.50,986.90,990.84,0,2016-04-16 23:06:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.35,0.40,18.00,0.50,0.80,2.50,3.90,18.00,18.00,18.00,13.40,20.00,12.00,80.20,5.90,98.60,985.10,991.51,0,2016-04-16 23:06:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.35,0.30,17.60,0.40,0.60,1.70,3.00,17.60,17.60,17.60,13.80,20.00,12.00,109.70,1.90,98.00,984.00,991.45,0,2016-04-16 23:06:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.37,0.20,15.80,0.30,0.60,1.30,2.60,15.70,15.80,15.80,13.50,20.60,10.00,88.40,4.90,98.90,978.40,990.58,0,2016-04-16 23:06:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.37,0.20,14.90,0.30,0.60,1.30,2.70,14.90,14.90,14.90,13.80,20.60,10.00,44.50,1.40,100.00,981.60,990.55,0,2016-04-16 23:06:00
10035,BTN,37.4935638889,127.0301555556,2,72.4857,SKY_A08,1,0.37,0.30,16.20,0.40,0.60,1.30,2.70,16.10,16.20,16.20,13.70,20.60,10.00,84.70,6.70,96.70,981.20,989.66,0,2016-04-16 23:06:00
10036,BTN,37.4894505556,127.0825044444,7,49.9032,SKY_A08,1,0.39,0.50,23.70,0.70,1.30,2.50,4.50,23.70,23.70,23.70,13.60,20.70,10.40,100.80,4.20,96.00,985.00,990.84,0,2016-04-16 23:06:00
10037,BTN,37.5210305556,127.0572888889,18,81.7495,SKY_A08,1,0.35,0.20,16.80,0.30,0.60,1.40,2.80,16.80,16.80,16.80,13.80,20.00,12.00,72.00,2.10,98.40,982.20,991.75,0,2016-04-16 23:06:00
10040,BTN,37.5378861111,127.1396583333,9,56.9444,SKY_A08,1,0.35,0.40,17.00,0.60,0.80,1.70,3.00,17.00,17.00,17.00,14.10,20.40,10.20,149.40,5.10,95.00,984.00,990.65,0,2016-04-16 23:06:00
10042,BTN,37.5525122222,127.1536294444,5,69.2126,SKY_A08,1,0.35,0.30,15.80,0.50,0.70,1.50,2.60,15.70,15.80,15.80,13.30,20.40,10.20,139.00,4.80,92.90,982.70,990.80,0,2016-04-16 23:06:00
10043,BTN,37.5484861111,127.1726722222,8,55.485,SKY_A08,1,0.35,0.30,16.70,0.50,0.70,1.70,2.60,16.70,16.70,16.70,14.10,20.40,10.20,101.90,6.30,96.20,985.30,991.79,0,2016-04-16 23:06:00
10044,BTN,37.5298777778,127.1322694444,10,51.7449,SKY_A08,1,0.33,0.50,18.90,0.70,0.90,1.80,3.30,18.90,18.90,18.90,14.30,20.60,11.20,159.70,5.00,96.60,985.40,991.45,0,2016-04-16 23:06:00
