STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.36,2.60,14.40,0.50,0.70,1.50,2.80,14.40,14.40,14.40,14.60,20.60,10.00,74.30,2.30,100.00,981.70,987.74,0,2016-04-16 23:53:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.36,4.00,16.10,0.70,1.00,2.20,4.20,15.90,16.10,16.10,14.50,20.60,10.00,24.20,7.20,99.50,983.40,989.55,0,2016-04-16 23:53:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.31,3.90,19.80,0.70,1.10,2.70,4.20,19.70,19.80,19.80,14.00,20.00,12.00,121.80,1.50,97.80,978.50,989.05,0,2016-04-16 23:53:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.31,4.10,19.50,0.70,1.10,2.90,4.30,19.40,19.50,19.50,14.10,20.00,12.00,72.80,4.90,100.00,981.20,988.77,0,2016-04-16 23:53:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.36,4.20,22.80,0.70,1.10,2.50,4.40,22.70,22.80,22.80,13.70,20.60,10.00,85.90,6.80,94.10,981.10,989.19,0,2016-04-16 23:53:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.36,3.90,19.00,0.70,1.10,2.50,4.20,19.00,19.00,19.00,13.60,20.60,10.00,124.40,3.80,94.60,982.90,990.91,0,2016-04-16 23:53:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.36,3.50,18.60,0.60,0.90,2.20,3.70,18.50,18.60,18.60,14.00,20.60,10.00,88.00,4.50,97.10,983.10,988.90,0,2016-04-16 23:53:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A07,1,0.36,1.40,37.70,0.00,0.00,0.00,1.40,37.60,37.70,37.70,14.10,20.60,10.00,13.90,2.90,99.40,980.20,988.06,0,2016-04-16 23:53:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.31,4.10,20.30,0.70,1.10,2.50,4.40,20.30,20.30,20.30,14.10,20.00,12.00,93.90,3.80,99.20,982.60,988.26,0,2016-04-16 23:53:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.31,3.90,21.40,0.60,1.00,2.40,4.20,21.30,21.40,21.40,14.00,20.00,12.00,107.40,1.70,92.40,982.50,989.55,0,2016-04-16 23:53:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.31,3.50,19.80,0.70,1.10,2.20,3.80,19.80,19.80,19.80,13.80,20.00,12.00,119.70,3.20,99.00,982.30,989.64,0,2016-04-16 23:53:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.51,4.40,24.80,0.90,1.30,2.30,5.00,24.70,24.80,24.80,13.90,20.70,10.40,175.70,0.50,100.00,985.20,989.13,0,2016-04-16 23:53:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.31,4.20,21.80,0.60,1.20,3.00,4.50,21.70,21.80,21.80,13.40,20.00,12.00,67.90,6.20,99.10,983.10,989.50,0,2016-04-16 23:53:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.31,3.90,21.20,0.60,1.10,2.70,4.20,21.10,21.20,21.20,14.00,20.00,12.00,12.00,2.90,98.70,982.30,989.73,0,2016-04-16 23:53:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.36,3.40,19.00,0.60,0.80,2.00,3.70,18.90,19.00,19.00,14.10,20.60,10.00,90.80,4.10,100.00,976.60,988.73,0,2016-04-16 23:53:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.36,3.70,18.40,0.60,0.90,2.10,3.90,18.40,18.40,18.40,14.20,20.60,10.00,101.50,2.50,100.00,979.80,988.72,0,2016-04-16 23:53:00
10035,BTN,37.4935638889,127.0301555556,2,72.4857,SKY_A08,1,0.36,3.60,19.50,0.70,0.90,2.10,3.80,19.40,19.50,19.50,14.30,20.60,10.00,100.50,3.90,97.20,979.30,987.73,0,2016-04-16 23:53:00
10036,BTN,37.4894505556,127.0825044444,7,49.9032,SKY_A08,1,0.51,5.10,28.30,1.00,1.40,2.80,5.70,28.30,28.30,28.30,13.80,20.70,10.40,124.70,3.60,97.00,983.40,989.23,0,2016-04-16 23:53:00
