STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.36,2.20,14.00,0.40,0.70,1.50,2.70,14.00,14.00,14.00,14.50,20.60,10.00,141.20,2.30,100.00,982.00,988.05,0,2016-04-16 23:46:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.36,3.50,15.60,0.60,1.00,2.70,4.10,15.50,15.60,15.60,14.40,20.60,10.00,16.50,7.50,99.90,983.80,989.96,0,2016-04-16 23:46:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.31,3.50,19.40,1.10,1.50,3.00,4.10,19.30,19.40,19.40,13.90,20.00,12.00,105.10,1.30,97.50,978.70,989.25,0,2016-04-16 23:46:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.31,3.60,19.00,1.10,1.60,3.20,4.20,19.00,19.00,19.00,13.90,20.00,12.00,324.70,0.60,100.00,981.70,989.28,0,2016-04-16 23:46:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.36,3.60,22.20,0.60,1.00,3.00,4.20,22.10,22.20,22.20,13.70,20.60,10.00,86.30,5.30,93.90,981.40,989.49,0,2016-04-16 23:46:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.36,3.30,18.40,0.60,1.10,2.80,4.00,18.40,18.40,18.40,13.60,20.60,10.00,108.90,2.20,94.20,983.00,991.01,0,2016-04-16 23:46:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.36,3.00,18.10,0.60,0.90,2.60,3.40,18.00,18.10,18.10,14.00,20.60,10.00,122.90,3.70,97.00,983.50,989.30,0,2016-04-16 23:46:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A07,1,0.36,1.40,37.70,0.00,0.00,0.90,1.40,37.60,37.70,37.70,14.00,20.60,10.00,110.10,5.80,99.80,980.60,988.46,0,2016-04-16 23:46:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.31,3.50,19.70,0.60,1.00,3.00,4.20,19.70,19.70,19.70,14.00,20.00,12.00,150.60,0.90,99.30,982.90,988.56,0,2016-04-16 23:46:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.31,3.40,20.90,0.70,1.00,2.90,4.00,20.90,20.90,20.90,14.10,20.00,12.00,156.20,1.90,92.00,982.80,989.85,0,2016-04-16 23:46:00
