STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.30,1.00,3.00,0.80,1.20,2.00,2.50,3.00,3.00,3.00,13.20,20.60,10.00,71.40,5.10,100.00,989.10,995.22,0,2016-04-16 20:11:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.30,0.60,4.70,0.50,0.80,1.40,2.40,4.70,4.70,4.70,13.00,20.60,10.00,74.20,4.30,99.40,991.00,997.24,0,2016-04-16 20:11:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.29,1.60,7.70,1.40,1.80,2.90,4.50,7.70,7.70,7.70,13.00,20.00,12.00,41.50,3.60,94.90,985.70,996.36,0,2016-04-16 20:11:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.29,2.00,8.20,1.50,2.20,3.40,5.20,8.20,8.20,8.20,13.00,20.00,12.00,77.00,6.70,99.90,988.70,996.36,0,2016-04-16 20:11:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.30,1.80,8.10,1.50,2.10,3.20,4.90,8.10,8.10,8.10,13.00,20.60,10.00,45.40,3.10,90.00,988.50,996.68,0,2016-04-16 20:11:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.30,0.90,6.10,0.70,1.20,2.00,3.50,6.10,6.10,6.10,12.60,20.60,10.00,38.00,6.80,92.10,990.10,998.20,0,2016-04-16 20:11:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.30,1.40,6.90,1.10,1.60,2.50,4.00,6.90,6.90,6.90,13.20,20.60,10.00,76.10,3.10,94.60,990.60,996.46,0,2016-04-16 20:11:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.30,2.50,13.30,2.00,3.00,4.80,7.50,13.30,13.30,13.30,12.90,20.60,10.00,62.40,4.40,96.40,987.70,995.65,0,2016-04-16 20:11:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.29,1.50,6.80,1.30,1.70,2.60,4.10,6.80,6.80,6.80,13.20,20.00,12.00,14.40,7.10,96.40,990.00,995.72,0,2016-04-16 20:11:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.29,1.80,7.80,1.60,2.10,3.00,4.60,7.80,7.80,7.80,13.00,20.00,12.00,134.60,3.40,91.00,990.00,997.13,0,2016-04-16 20:11:00
