STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.36,1.80,13.60,0.40,0.80,1.50,2.80,13.60,13.60,13.60,14.30,20.60,10.00,121.90,3.50,100.00,982.40,988.46,0,2016-04-16 23:37:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.36,3.00,15.10,0.70,1.40,2.70,4.20,15.00,15.10,15.10,14.30,20.60,10.00,34.10,8.10,100.00,984.10,990.26,0,2016-04-16 23:37:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.31,2.50,18.40,0.90,1.40,2.20,3.60,18.30,18.40,18.40,13.80,20.00,12.00,319.70,0.60,97.30,979.20,989.76,0,2016-04-16 23:37:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.31,2.70,18.10,1.00,1.60,2.40,3.80,18.10,18.10,18.10,13.90,20.00,12.00,47.00,2.10,100.00,982.10,989.68,0,2016-04-16 23:37:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.36,3.10,21.70,0.90,1.60,2.70,4.30,21.60,21.70,21.70,13.60,20.60,10.00,79.80,7.20,93.80,981.80,989.90,0,2016-04-16 23:37:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.36,2.70,17.80,0.80,1.40,2.40,4.00,17.80,17.80,17.80,13.40,20.60,10.00,114.50,5.70,94.40,983.40,991.42,0,2016-04-16 23:37:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.36,2.50,17.60,0.70,1.30,2.20,3.40,17.50,17.60,17.60,13.80,20.60,10.00,89.80,4.60,96.50,983.80,989.60,0,2016-04-16 23:37:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A07,1,0.36,1.40,37.70,0.00,0.00,1.40,1.40,37.60,37.70,37.70,13.90,20.60,10.00,62.60,3.80,99.50,980.90,988.77,0,2016-04-16 23:37:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.31,2.90,19.10,0.80,1.50,2.60,4.20,19.10,19.10,19.10,14.00,20.00,12.00,76.50,2.40,98.90,983.30,988.97,0,2016-04-16 23:37:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.31,2.80,20.30,0.70,1.40,2.50,3.90,20.30,20.30,20.30,13.90,20.00,12.00,138.30,2.50,91.80,983.20,990.26,0,2016-04-16 23:37:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.31,2.30,18.60,0.60,1.10,2.00,3.30,18.60,18.60,18.60,13.70,20.00,12.00,107.70,3.30,98.70,983.00,990.34,0,2016-04-16 23:37:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.51,2.90,23.30,0.70,0.90,2.40,4.80,23.30,23.30,23.30,13.70,20.70,10.40,188.30,1.10,100.00,985.80,989.74,0,2016-04-16 23:37:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.31,2.80,20.40,1.10,1.70,2.40,4.70,20.40,20.40,20.40,13.40,20.00,12.00,75.30,5.70,98.70,984.00,990.40,0,2016-04-16 23:37:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.31,2.60,19.90,1.00,1.50,2.20,3.90,19.90,19.90,19.90,13.90,20.00,12.00,115.00,0.80,98.20,983.00,990.44,0,2016-04-16 23:37:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.36,2.50,18.10,0.70,1.20,2.20,3.50,18.00,18.10,18.10,13.80,20.60,10.00,100.10,4.10,99.50,977.30,989.45,0,2016-04-16 23:37:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.36,2.80,17.50,0.70,1.30,2.60,3.80,17.50,17.50,17.50,13.90,20.60,10.00,105.70,1.60,100.00,980.50,989.43,0,2016-04-16 23:37:00
10035,BTN,37.4935638889,127.0301555556,2,72.4857,SKY_A08,1,0.36,2.70,18.60,0.70,1.30,2.40,3.60,18.50,18.60,18.60,14.10,20.60,10.00,73.50,4.20,97.40,980.10,988.54,0,2016-04-16 23:37:00
10036,BTN,37.4894505556,127.0825044444,7,49.9032,SKY_A08,1,0.51,3.70,26.90,0.90,1.60,3.10,5.60,26.90,26.90,26.90,13.70,20.70,10.40,86.80,4.40,96.70,984.00,989.84,0,2016-04-16 23:37:00
10037,BTN,37.5210305556,127.0572888889,18,81.7495,SKY_A08,1,0.31,2.40,19.00,0.80,1.30,2.10,3.50,19.00,19.00,19.00,13.80,20.00,12.00,102.20,4.00,98.80,981.00,990.54,0,2016-04-16 23:37:00
10040,BTN,37.5378861111,127.1396583333,9,56.9444,SKY_A08,1,0.55,2.60,19.20,0.70,1.30,2.10,3.90,19.20,19.20,19.20,14.50,20.40,10.20,150.80,6.60,96.00,982.90,989.53,0,2016-04-16 23:37:00
10042,BTN,37.5525122222,127.1536294444,5,69.2126,SKY_A08,1,0.55,2.10,17.60,0.50,1.10,1.70,3.30,17.50,17.60,17.60,13.70,20.40,10.20,130.20,4.20,93.00,981.80,989.88,0,2016-04-16 23:37:00
10043,BTN,37.5484861111,127.1726722222,8,55.485,SKY_A08,1,0.55,1.80,18.20,0.50,1.10,1.50,3.10,18.20,18.20,18.20,14.30,20.40,10.20,94.70,6.40,97.90,984.30,990.78,0,2016-04-16 23:37:00
10044,BTN,37.5298777778,127.1322694444,10,51.7449,SKY_A08,1,0.45,2.60,21.00,0.60,1.10,2.00,3.90,21.00,21.00,21.00,14.80,20.60,11.20,90.70,2.90,97.40,984.20,990.23,0,2016-04-16 23:37:00
