STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.21,1.20,7.50,0.30,0.50,1.40,3.60,7.50,7.50,7.50,13.60,20.60,10.00,81.50,9.70,96.80,986.70,992.80,0,2016-04-16 21:24:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.21,0.70,7.40,0.20,0.30,0.80,2.20,7.40,7.40,7.40,13.40,20.60,10.00,85.70,5.70,96.80,988.70,994.91,0,2016-04-16 21:24:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.19,0.90,12.10,0.20,0.30,1.20,3.50,12.10,12.10,12.10,13.20,20.00,12.00,63.40,2.90,97.00,983.60,994.23,0,2016-04-16 21:24:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.19,0.70,11.80,0.10,0.20,0.90,2.90,11.80,11.80,11.80,13.30,20.00,12.00,102.80,3.70,99.60,986.50,994.14,0,2016-04-16 21:24:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.21,1.20,13.60,0.20,0.40,1.50,4.40,13.60,13.60,13.60,13.50,20.60,10.00,77.50,5.80,88.40,986.20,994.34,0,2016-04-16 21:24:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.21,1.20,10.10,0.20,0.40,1.40,3.30,10.10,10.10,10.10,13.20,20.60,10.00,112.90,4.00,90.60,987.90,995.97,0,2016-04-16 21:24:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.21,1.10,11.20,0.30,0.40,1.30,3.40,11.20,11.20,11.20,13.20,20.60,10.00,83.40,1.70,96.20,988.30,994.14,0,2016-04-16 21:24:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.21,4.70,27.30,2.00,2.80,5.60,11.50,27.30,27.30,27.30,12.90,20.60,10.00,64.00,3.30,98.40,985.50,993.43,0,2016-04-16 21:24:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.19,1.10,11.30,0.20,0.40,1.40,3.60,11.30,11.30,11.30,13.50,20.00,12.00,354.90,2.00,98.60,987.80,993.50,0,2016-04-16 21:24:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.19,1.20,13.10,0.20,0.40,1.50,4.20,13.10,13.10,13.10,13.70,20.00,12.00,6.60,0.90,88.70,987.70,994.80,0,2016-04-16 21:24:00
