STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.30,0.70,2.70,0.80,1.10,1.80,2.20,2.70,2.70,2.70,13.10,20.60,10.00,75.20,5.00,100.00,989.20,995.33,0,2016-04-16 20:07:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.30,0.40,4.50,0.50,0.80,1.30,2.20,4.50,4.50,4.50,13.00,20.60,10.00,99.40,3.60,98.70,991.20,997.44,0,2016-04-16 20:07:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.29,1.20,7.30,1.30,1.70,2.80,4.20,7.30,7.30,7.30,13.10,20.00,12.00,318.30,2.20,94.00,985.80,996.46,0,2016-04-16 20:07:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.29,1.70,7.90,1.80,2.20,3.40,5.00,7.90,7.90,7.90,13.20,20.00,12.00,49.00,4.50,99.20,988.80,996.46,0,2016-04-16 20:07:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.30,1.30,7.60,1.50,1.90,3.00,4.50,7.60,7.60,7.60,13.10,20.60,10.00,35.50,3.80,89.80,988.60,996.77,0,2016-04-16 20:07:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.30,0.70,5.90,0.90,1.30,2.10,3.40,5.90,5.90,5.90,12.60,20.60,10.00,27.00,6.20,91.60,990.20,998.30,0,2016-04-16 20:07:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.30,1.00,6.50,1.10,1.50,2.40,3.60,6.50,6.50,6.50,13.30,20.60,10.00,78.30,1.90,94.40,990.70,996.56,0,2016-04-16 20:07:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.30,1.70,12.50,2.10,2.70,4.40,6.80,12.50,12.50,12.50,13.00,20.60,10.00,56.60,3.30,96.00,987.90,995.85,0,2016-04-16 20:07:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.29,1.10,6.40,1.30,1.60,2.60,3.80,6.40,6.40,6.40,13.30,20.00,12.00,66.40,2.70,95.60,990.20,995.92,0,2016-04-16 20:07:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.29,1.30,7.30,1.50,1.80,2.80,4.20,7.30,7.30,7.30,13.10,20.00,12.00,66.10,2.20,90.40,990.10,997.23,0,2016-04-16 20:07:00
