STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A07,1,0.25,0.50,0.50,0.00,0.00,0.30,0.50,0.50,0.50,0.50,15.00,20.60,10.00,65.80,4.40,90.20,993.70,999.81,0,2016-04-16 18:37:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.25,1.30,1.50,0.20,0.40,1.00,1.40,1.50,1.50,1.50,14.90,20.60,10.00,65.80,2.90,87.90,995.50,1001.72,0,2016-04-16 18:37:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.25,1.80,1.90,0.60,0.90,1.60,1.80,1.90,1.90,1.90,14.90,20.00,12.00,90.70,6.10,81.50,990.30,1000.94,0,2016-04-16 18:37:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.25,1.60,1.70,0.60,0.80,1.60,1.70,1.70,1.70,1.70,15.10,20.00,12.00,99.40,6.30,84.00,993.20,1000.83,0,2016-04-16 18:37:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.25,1.70,1.90,0.50,0.80,1.50,1.80,1.90,1.90,1.90,14.80,20.60,10.00,64.50,5.60,77.90,993.10,1001.26,0,2016-04-16 18:37:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.25,1.40,1.50,0.40,0.70,1.30,1.50,1.50,1.50,1.50,14.50,20.60,10.00,53.70,5.50,79.50,994.70,1002.78,0,2016-04-16 18:37:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.25,1.70,1.90,0.50,0.80,1.50,1.80,1.90,1.90,1.90,14.80,20.60,10.00,83.10,5.50,82.40,995.10,1000.95,0,2016-04-16 18:37:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.25,3.30,3.50,1.00,1.50,2.90,3.40,3.50,3.50,3.50,14.40,20.60,10.00,28.40,5.30,85.70,992.40,1000.34,0,2016-04-16 18:37:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.25,1.50,1.50,0.40,0.70,1.30,1.50,1.50,1.50,1.50,15.70,20.00,12.00,52.90,2.30,80.10,994.60,1000.29,0,2016-04-16 18:37:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.25,1.70,1.80,0.50,0.80,1.50,1.80,1.80,1.80,1.80,15.60,20.00,12.00,42.10,0.90,73.40,994.50,1001.60,0,2016-04-16 18:37:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.25,1.60,1.60,0.50,0.70,1.50,1.60,1.60,1.60,1.60,15.20,20.00,12.00,139.70,1.60,81.30,994.30,1001.69,0,2016-04-16 18:37:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.26,1.80,1.90,0.60,0.90,1.60,1.90,1.90,1.90,1.90,14.70,20.70,10.40,113.80,3.20,87.50,996.90,1000.87,0,2016-04-16 18:37:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.25,1.80,1.90,0.60,0.90,1.70,1.90,1.90,1.90,1.90,15.10,20.00,12.00,83.40,5.70,81.60,994.90,1001.33,0,2016-04-16 18:37:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.25,1.80,1.90,0.60,0.90,1.70,1.90,1.90,1.90,1.90,15.30,20.00,12.00,101.90,3.70,81.60,994.10,1001.59,0,2016-04-16 18:37:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.25,1.70,1.90,0.50,0.80,1.50,1.80,1.90,1.90,1.90,14.70,20.60,10.00,92.50,2.40,84.80,988.60,1000.85,0,2016-04-16 18:37:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.25,1.50,1.60,0.50,0.80,1.30,1.60,1.60,1.60,1.60,15.10,20.60,10.00,57.40,2.00,86.50,991.80,1000.79,0,2016-04-16 18:37:00
10035,BTN,37.4935638889,127.0301555556,2,72.4857,SKY_A08,1,0.25,1.70,1.90,0.60,0.90,1.50,1.80,1.90,1.90,1.90,14.80,20.60,10.00,88.30,7.20,83.50,991.40,999.91,0,2016-04-16 18:37:00
10036,BTN,37.4894505556,127.0825044444,7,49.9032,SKY_A08,1,0.26,2.10,2.20,0.60,1.00,1.90,2.20,2.20,2.20,2.20,14.50,20.70,10.40,87.60,5.50,85.00,995.10,1000.98,0,2016-04-16 18:37:00
10037,BTN,37.5210305556,127.0572888889,18,81.7495,SKY_A08,1,0.25,1.60,1.70,0.50,0.80,1.50,1.70,1.70,1.70,1.70,15.00,20.00,12.00,56.80,3.60,84.50,992.30,1001.91,0,2016-04-16 18:37:00
10040,BTN,37.5378861111,127.1396583333,9,56.9444,SKY_A08,1,0.25,1.50,1.50,0.50,0.80,1.40,1.50,1.50,1.50,1.50,15.10,20.40,10.20,124.60,2.80,79.70,994.30,1001.00,0,2016-04-16 18:37:00
10042,BTN,37.5525122222,127.1536294444,5,69.2126,SKY_A08,1,0.25,1.40,1.50,0.60,0.80,1.40,1.40,1.50,1.50,1.50,14.60,20.40,10.20,111.70,4.60,78.60,993.10,1001.25,0,2016-04-16 18:37:00
10043,BTN,37.5484861111,127.1726722222,8,55.485,SKY_A08,1,0.25,1.70,1.70,0.70,1.00,1.60,1.70,1.70,1.70,1.70,15.10,20.40,10.20,105.50,4.60,84.40,995.80,1002.33,0,2016-04-16 18:37:00
10044,BTN,37.5298777778,127.1322694444,10,51.7449,SKY_A08,1,0.24,1.70,1.70,0.60,0.90,1.60,1.70,1.70,1.70,1.70,15.00,20.60,11.20,101.20,4.10,84.30,995.50,1001.59,0,2016-04-16 18:37:00
10045,BTN,37.5223222222,127.1328527778,17.3063,50.8063,SKY_A08,1,0.24,1.60,1.70,0.50,0.80,1.50,1.60,1.70,1.70,1.70,14.60,20.60,11.20,86.00,10.20,86.60,995.70,1001.69,0,2016-04-16 18:37:00
10047,BTN,37.5549333333,127.1345555556,8,60.043,SKY_A08,1,0.25,3.00,3.00,0.80,1.30,2.50,3.00,3.00,3.00,3.00,15.10,20.40,10.20,103.30,3.40,80.30,994.00,1001.06,0,2016-04-16 18:37:00
10048,BTN,37.5490277778,127.1266944444,8,57.8966,SKY_A08,1,0.24,1.90,2.00,0.80,1.10,1.80,1.90,2.00,2.00,2.00,15.20,20.60,11.20,72.20,6.50,82.20,995.60,1002.41,0,2016-04-16 18:37:00
10049,BTN,37.5407111111,127.1282750000,8,57.0062,SKY_A08,1,0.24,1.70,1.80,0.70,1.00,1.60,1.70,1.80,1.80,1.80,14.90,20.60,11.20,41.70,5.60,86.30,994.80,1001.51,0,2016-04-16 18:37:00
10050,BTN,37.5443220000,127.1421050000,11,62.5,SKY_A08,1,0.25,1.70,1.70,0.60,0.90,1.60,1.70,1.70,1.70,1.70,14.30,20.40,10.20,62.40,6.50,85.40,994.10,1001.47,0,2016-04-16 18:37:00
