STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.21,0.70,9.70,0.40,0.60,1.20,2.40,9.70,9.70,9.70,13.70,20.60,10.00,71.70,3.60,99.30,985.60,991.69,0,2016-04-16 22:15:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.21,0.50,9.50,0.40,0.50,1.10,2.20,9.50,9.50,9.50,13.50,20.60,10.00,21.70,7.70,99.00,987.50,993.70,0,2016-04-16 22:15:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.19,0.60,13.80,0.40,0.50,1.00,1.90,13.80,13.80,13.80,13.70,20.00,12.00,83.50,0.90,96.00,982.60,993.20,0,2016-04-16 22:15:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.19,0.40,13.20,0.20,0.40,0.70,1.50,13.20,13.20,13.20,13.80,20.00,12.00,96.40,4.40,97.90,985.50,993.11,0,2016-04-16 22:15:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.21,0.60,16.00,0.40,0.60,1.30,2.60,16.00,16.00,16.00,13.60,20.60,10.00,84.50,7.50,89.10,985.10,993.23,0,2016-04-16 22:15:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.21,0.80,12.60,0.40,0.70,1.40,2.70,12.60,12.60,12.60,13.30,20.60,10.00,101.30,5.60,91.70,986.80,994.85,0,2016-04-16 22:15:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.21,0.60,13.10,0.30,0.50,1.10,2.10,13.10,13.10,13.10,13.50,20.60,10.00,54.10,0.80,95.20,987.20,993.03,0,2016-04-16 22:15:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A08,1,0.21,2.60,36.30,1.40,2.40,5.40,10.80,36.30,36.30,36.30,13.20,20.60,10.00,52.60,3.70,97.70,984.50,992.42,0,2016-04-16 22:15:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.19,0.80,13.60,0.40,0.70,1.40,2.50,13.60,13.60,13.60,13.80,20.00,12.00,121.90,2.00,96.80,986.60,992.29,0,2016-04-16 22:15:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.19,0.60,15.20,0.40,0.60,1.20,2.30,15.20,15.20,15.20,13.90,20.00,12.00,30.10,1.40,88.40,986.60,993.69,0,2016-04-16 22:15:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.19,0.50,14.20,0.30,0.50,1.00,1.90,14.20,14.20,14.20,13.60,20.00,12.00,100.80,1.20,97.60,986.40,993.77,0,2016-04-16 22:15:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.19,0.80,16.70,0.30,0.80,1.80,3.90,16.70,16.70,16.70,13.70,20.70,10.40,146.50,2.80,97.70,989.20,993.15,0,2016-04-16 22:15:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.19,0.50,14.40,0.40,0.50,1.10,1.90,14.40,14.40,14.40,13.40,20.00,12.00,99.90,6.60,96.00,987.40,993.82,0,2016-04-16 22:15:00
10025,BTN,37.5221805556,127.0331000000,9,63.7039,SKY_A08,1,0.19,0.60,15.00,0.40,0.60,1.10,2.00,15.00,15.00,15.00,13.70,20.00,12.00,163.00,4.60,96.90,986.30,993.77,0,2016-04-16 22:15:00
10030,BTN,37.5019483333,127.0419586111,10,104.4053,SKY_A08,1,0.21,0.60,13.50,0.30,0.50,1.00,2.00,13.50,13.50,13.50,13.40,20.60,10.00,84.10,4.30,97.90,980.70,992.91,0,2016-04-16 22:15:00
10032,BTN,37.4972486111,127.0444663889,11,76.608,SKY_A08,1,0.21,0.60,12.50,0.30,0.60,2.20,3.20,12.50,12.50,12.50,13.60,20.60,10.00,71.60,2.70,98.90,983.90,992.87,0,2016-04-16 22:15:00
